77695,Grenzwissenschaften
76745,Verkehrslenkung
76751,Verkehrspsychologie
76763,Güterverkehr
76773,Gefahrguttransport
76774,Verkehrssicherheit
76779,Führerschein
76789,Verkehrstarif
77380,Astronomie
77386,Klassische Astronomie
77392,Kosmologie
77400,Sonnensystem
77406,Erde
77418,Planeten des Sonnensystems
77427,Sonne
77431,Himmelskörper
77511,Angewandte Chemie
77515,Physik
77523,Mechanik
77039,Eisenbahngüterverkehr
77040,Wasserverkehr
77042,Schifffahrtspolitik
77043,Schifffahrtsbehörde
77044,Handelsschifffahrt
77050,Frachtschifffahrt
77055,Schifffahrtsregelung
77703,Parapsychologie
77709,Astrologie
77719,Naturkatastrophe
77725,Dürre
77726,Hochwasser
77734,Erdbeben
77742,Vulkanausbruch
77747,Lawine
76804,Verkehrserziehung
76807,Öffentlicher Personennahverkehr
66749,Handwerk
66754,Industrie
66760,Handel
67667,Teeanbau
67670,Grünlandwirtschaft
67680,Forstwirtschaft
67684,Waldnutzung
67694,Jagd
67700,Viehwirtschaft
67703,Tierhaltung
67720,Futtermittel
68632,Nichteheliche Lebensgemeinschaft
68638,Familienpolitik
68649,Familienplanung
68655,Empfängnisverhütung
77062,Schiffssicherheit
77068,Schiffsbetrieb
77075,Schiff
77087,Fahrgastschiff
67839,Versicherungswirtschaft
67843,Privatversicherung
68758,Jugendverhalten
68762,Jugendkultur
68773,Jugendhilfe
68778,Jugendfürsorge
68787,Betreuung misshandelter Jugendlicher
68792,Jugendpflege
65880,Außenwirtschaft
65891,Außenwirtschaftspolitik
65896,Wirtschaftskooperation
76857,Verkehrsverstoß
66656,Steuerflucht
66658,Steueraufkommen
66662,Steuerverteilung
66667,Besitzsteuer
66671,Lohnsteuer
66673,Körperschaftsteuer
66675,Vermögensteuer
66678,Grundsteuer
66679,Erbschaftsteuer
66683,Verkehrsteuer
66687,Mehrwertsteuer
66690,Verbrauchsteuer
66696,Öko-Steuer
66697,Unternehmensteuer
66698,Steuerpolitik
76869,Kraftfahrzeug
76875,Kraftrad
76883,Straße
76901,Autobahn
76908,Tunnel
76909,Weg
77534,Thermodynamik
77536,Elektrodynamik
77546,Optik
77550,Quantentheorie
77553,Relativitätstheorie
77556,Atomphysik
77102,Spezialschiff
77118,Hafen
77126,Seeschifffahrt
77129,Binnenschifffahrt
77130,Freizeitschifffahrt
77132,Luftfahrt
77140,Luftverkehrspolitik
68660,Abtreibung
68663,Adoption
68683,Vater
65762,Marktmacht
65771,Staatliche Wettbewerbspolitik
65776,Marktforschung
65778,Preis
65799,Staatliche Investitionspolitik
65806,Subventionspolitik
65810,Privatisierung
66770,Einzelhandel
77755,Unfall
